Order_ID,Product_SKU, Order_Quantity ,Sales_Amount
4298,MJ08-XS-Green,38,£1710.00
4299,MS11-M-Yellow,20,£240.00
4300,WB02-L-Blue,9,£117.00
4301,MSH01-36-Red,25,£800.00
4302,MP02-36-Gray,37,£1850.00
4303,MP03-32-Blue,2,£76.00
4304,MT02-M-Gray,20,£380.00
4305,MP07-33-Purple,50,£1700.00
4306,MS03-M-Orange,15,£105.00
4307,MJ07-L-Red,41,£2378.00
4308,MP09-33-Red,35,£1575.00
4309,MSH08-33-Blue,33,£1419.00
4310,MH12-S-Blue,17,£561.00
4311,MT01-XL-Gray,26,£650.00
4312,WB04-S-Yellow,8,£208.00
4313,MT11-S-Pink,5,£115.00
4314,WH01-L-Orange,14,£560.00
4315,MS07-S-Green,16,£128.00
4316,MH13-S-Blue,1,£28.00
4317,MT02-XL-Red,15,£255.00
4318,WB04-S-Purple,26,£312.00
4319,MT08-XL-Green,47,£1081.00
4320,MSH01-32-Blue,5,£190.00
4321,MSH07-33-Purple,32,£1280.00
4322,MJ11-M-Green,39,£2223.00
4323,MJ04-XL-Black,27,£1674.00
4324,MP01-32-Black,6,£216.00
4325,MJ01-XS-Yellow,27,£1107.00
4326,WH06-S-Purple,29,£928.00
4327,MP12-33-Black,34,£1496.00
4328,WB03-XS-Red,36,£576.00
4329,MH09-M-Blue,12,£348.00
4330,MT01-L-Red,29,£725.00
4331,MS11-M-Green,34,£714.00
4332,MH10-L-Red,40,£1760.00
4333,WB01-XL-Purple,30,£780.00
4334,MSH09-34-Blue,47,£1316.00
4335,MH06-L-Black,45,£1665.00
4336,MSH01-32-Pink,50,£1350.00
4337,MJ02-XL-Red,38,£1596.00
4338,WH01-M-Purple,3,£129.00
4339,MSH12-34-Black,39,£1053.00
4340,MP12-36-Black,8,£256.00
4341,MH10-XL-Blue,22,£748.00
4342,MS01-M-Yellow,13,£208.00
4343,MH04-S-White,8,£232.00
4344,MS05-L-Purple,17,£408.00
4345,MT05-S-Blue,28,£644.00
4346,MS10-S-Black,50,£850.00
4347,MJ02-XS-Orange,3,£186.00
4348,WH08-S-Orange,39,£1599.00
4349,WH08-S-Purple,26,£910.00
4350,MSH05-32-Pink,12,£504.00
4351,MS07-XL-Green,3,£75.00
4352,MP09-36-Blue,35,£1540.00
4353,MT11-M-Blue,12,£276.00
4354,MJ04-S-Pink,36,£1620.00
4355,MH04-XS-White,46,£1564.00
4356,MJ04-M-Purple,24,£1008.00
4357,MH01-XL-Orange,19,£608.00
4358,MT04-S-Pink,21,£315.00
4359,MS10-M-Black,15,£75.00
4360,MJ07-S-Red,48,£2160.00
4361,MP03-36-Blue,1,£51.00
4362,MJ11-XS-Green,41,£2419.00
4363,MP03-34-Green,23,£1242.00
4364,WB05-XL-Orange,6,£150.00
4365,MSH03-33-Blue,28,£700.00
4366,MS03-L-Orange,41,£574.00
4367,MS12-M-Red,23,£575.00
4368,MSH10-33-Green,35,£1015.00
4369,MSH09-32-Black,39,£1638.00
4370,MSH10-36-Blue,12,£384.00
4371,MSH09-33-Blue,32,£1216.00
4372,MS06-L-Blue,37,£296.00
4373,MSH06-34-Blue,29,£783.00
4374,WH08-S-White,12,£324.00
4375,MSH08-36-Black,34,£1122.00
4376,WH06-S-Purple,6,£156.00
4377,MJ04-S-Pink,7,£301.00
4378,MT04-S-Pink,29,£638.00
4379,MSH08-33-Black,27,£1134.00
4380,MP10-32-Pink,18,£792.00
4381,MH10-M-Black,41,£1804.00
4382,MS08-S-Black,14,£224.00
4383,MT01-XS-Red,46,£782.00
4384,MS05-XS-Black,9,£108.00
4385,MH02-M-Purple,15,£300.00
4386,WH02-XS-Green,4,£168.00
4387,MH04-L-Yellow,8,£160.00
4388,MP02-33-Gray,5,£160.00
4389,MSH03-34-Green,50,£1600.00
4390,MH07-XS-Black,7,£182.00
4391,MJ04-S-Purple,4,£180.00
4392,WB03-XL-Yellow,38,£380.00
4393,MS07-L-Green,35,£805.00
4394,MH04-M-White,26,£910.00
4395,MH04-M-Yellow,43,£1634.00
4396,MJ02-L-Red,43,£2666.00
4397,MS04-M-Red,39,£780.00
4398,MJ03-M-Green,5,£225.00
4399,MP02-33-Red,29,£1276.00
4400,MS08-XS-Black,34,£306.00
4401,WH05-XS-White,4,£108.00
4402,MS02-XS-Black,41,£656.00
4403,MS08-S-Blue,4,£84.00
4404,MJ03-XS-Green,27,£1431.00
4405,MS03-M-Gray,18,£450.00
4406,MJ08-XL-Green,45,£2790.00
4407,MJ04-XL-Purple,44,£2332.00
4408,MH03-XL-Blue,4,£156.00
4409,MJ03-XS-Green,41,£2460.00
4410,WH07-M-White,24,£984.00
4411,MH01-XL-Gray,18,£450.00
4412,MSH01-32-Pink,2,£64.00
4413,MSH08-36-Black,15,£555.00
4414,WH07-M-Purple,10,£280.00
4415,MSH01-36-Blue,15,£630.00
4416,MT08-S-Green,19,£342.00
4417,MT05-XS-Blue,17,£374.00
4418,MP09-33-Red,35,£1155.00
4419,MP08-34-Red,35,£1540.00
4420,MP11-34-Brown,42,£2184.00
4421,MP04-34-Gray,18,£576.00
4422,MJ03-XL-Red,48,£2064.00
4423,MSH11-32-Blue,37,£925.00
4424,MJ07-S-Yellow,39,£2379.00
4425,MS10-XS-Black,17,£238.00
4426,MP08-32-Pink,10,£390.00
4427,MJ06-L-Blue,41,£2460.00
4428,MS08-L-Blue,26,£416.00
4429,WB01-L-Gray,12,£288.00
4430,MP09-33-Red,12,£432.00
4431,WH05-L-Orange,31,£1085.00
4432,MJ02-L-Orange,11,£660.00
4433,WB04-S-Blue,38,£608.00
4434,WH08-M-Purple,3,£117.00
4435,WH02-XL-Green,9,£351.00
4436,MH03-XS-Blue,12,£408.00
4437,MT05-XL-Blue,30,£570.00
4438,MH11-M-Orange,28,£1036.00
4439,MS09-S-Red,15,£225.00
4440,MT02-S-White,21,£399.00
4441,MT04-L-Blue,3,£72.00
4442,WH02-XS-Orange,2,£42.00
4443,MH12-XS-Blue,14,£350.00
4444,WH01-M-Green,44,£1012.00
4445,MH01-XL-Orange,21,£756.00
4446,WB04-M-Blue,4,£64.00
4447,WH08-XL-Orange,38,£1216.00
4448,MJ08-L-Gray,27,£1647.00
4449,MH02-XS-Red,14,£448.00
4450,MSH03-33-Black,16,£672.00
4451,MH11-S-White,4,£112.00
4452,MS02-L-Gray,23,£575.00
4453,MS09-S-Pink,3,£60.00
4454,MS08-L-Red,24,£168.00
4455,MH12-XS-Red,28,£756.00
4456,MS02-M-Blue,35,£770.00
4457,MH05-XL-Green,39,£858.00
4458,WH08-XL-Purple,46,£1702.00
4459,MT03-M-Yellow,4,£64.00
4460,MS07-XS-Black,50,£700.00
4461,MJ10-S-Orange,46,£2898.00
4462,MT02-XS-Gray,49,£1176.00
4463,MJ03-L-Black,9,£540.00
4464,MSH09-36-Black,32,£960.00
4465,MSH05-32-Blue,17,£425.00
4466,MP07-33-Purple,4,£164.00
4467,MS09-M-Red,17,£408.00
4468,MP02-32-Red,30,£1620.00
4469,MS06-S-Green,48,£816.00
4470,MJ04-XS-Purple,3,£129.00
4471,MJ08-L-Green,43,£2580.00
4472,WH05-S-White,43,£989.00
4473,MSH06-34-Gray,14,£616.00
4474,MP04-34-Green,41,£1927.00
4475,MT11-S-Pink,17,£357.00
4476,MH12-L-Blue,11,£363.00
4477,MP11-34-Brown,3,£162.00
4478,MSH05-32-Gray,25,£775.00
4479,MSH04-32-Yellow,2,£52.00
4480,MJ11-S-Pink,31,£1333.00
4481,MS03-XL-Green,39,£507.00
4482,WH06-XL-Purple,1,£22.00
4483,MJ02-XS-Orange,32,£2080.00
4484,MP01-33-Black,7,£259.00
4485,WH05-L-White,27,£1107.00
4486,MP05-33-Blue,27,£1296.00
4487,MS05-S-Blue,34,£272.00
4488,WH08-XL-White,4,£168.00
4489,MT11-L-Blue,12,£192.00
4490,MT03-L-Red,37,£592.00
4491,MSH08-33-Blue,42,£1176.00
4492,WH02-XS-Blue,47,£1222.00
4493,MS09-L-Blue,35,£735.00
4494,MSH03-33-Black,10,£290.00
4495,MP08-36-Blue,36,£1224.00
4496,MJ03-M-Red,42,£2730.00
4497,MS10-S-Blue,37,£851.00
4498,MP02-32-Blue,13,£455.00
4499,MP07-32-Pink,42,£1302.00
4500,MP12-36-Red,50,£1700.00
4501,MT01-XS-Red,50,£1000.00
4502,MS07-S-Green,10,£90.00
4503,MJ07-XS-Black,4,£160.00
4504,MT03-XS-Red,26,£546.00
4505,WH08-XS-Orange,31,£1333.00
4506,MSH12-33-Black,43,£1419.00
4507,MSH05-36-Gray,35,£1540.00
4508,MS10-S-Red,48,£288.00
4509,WH08-L-Purple,9,£315.00
4510,MJ09-M-Yellow,6,£372.00
4511,WH08-S-White,10,£440.00
4512,MS12-S-Black,35,£385.00
4513,MP11-34-Blue,1,£34.00
4514,MJ07-S-Red,41,£2255.00
4515,MS10-S-Black,40,£1000.00
4516,MSH09-33-Blue,35,£1155.00
4517,MS07-S-Black,14,£322.00
4518,MS09-L-Red,30,£300.00
4519,MSH07-34-Black,35,£1120.00
4520,MJ06-S-Blue,20,£800.00
4521,MS01-S-Brown,6,£138.00
4522,MS08-XS-Red,28,£336.00
4523,MH09-L-Red,17,£493.00
4524,MJ02-S-Pink,30,£1890.00
4525,WH03-M-Green,19,£665.00
4526,MSH12-33-Black,23,£621.00
4527,MS08-S-Red,8,£192.00
4528,WH04-M-Purple,43,£903.00
4529,MT10-L-Yellow,27,£621.00
4530,MS05-M-Blue,6,£144.00
4531,MP10-34-Blue,17,£629.00
4532,MT03-M-Red,27,£459.00
4533,MP12-33-Red,18,£702.00
4534,MS03-XS-Green,45,£990.00
4535,WB02-S-Blue,27,£675.00
4536,MH01-S-Black,50,£2150.00
4537,MH13-XS-Lavender,1,£30.00
4538,MH09-XL-Red,6,£138.00
4539,MSH07-32-Black,25,£625.00
4540,WB03-S-Pink,34,£782.00
4541,MS10-M-Black,34,£544.00
4542,MS10-S-Blue,35,£735.00
4543,MSH04-36-Gray,29,£1305.00
4544,MP06-33-Orange,44,£1760.00
4545,WB01-M-Gray,39,£1014.00
4546,WH01-L-Orange,23,£460.00
4547,WH01-L-Purple,22,£990.00
4548,MS07-L-Black,37,£222.00
4549,MJ11-XL-Black,19,£1159.00
4550,MJ04-M-Black,2,£84.00
4551,MS06-S-Pink,12,£264.00
4552,MH08-XL-Purple,45,£1305.00
4553,MSH07-32-Blue,1,£41.00
4554,WH02-S-Pink,5,£120.00
4555,MJ09-M-White,12,£684.00
4556,MSH03-34-Black,28,£840.00
4557,WH03-XS-Green,50,£2150.00
4558,WH08-XS-Purple,8,£288.00
4559,MS10-XS-Blue,47,£329.00
4560,WH02-L-Orange,4,£180.00
4561,MP03-34-Red,13,£637.00
4562,MT02-XL-Gray,13,£195.00
4563,MS05-XS-Purple,15,£225.00
4564,MJ12-S-Black,39,£1911.00
4565,WH08-XS-White,15,£585.00
4566,MH06-M-Black,28,£840.00
4567,WH09-S-Pink,30,£1020.00
4568,MP04-33-Gray,42,£2184.00
4569,MSH01-36-Blue,42,£1848.00
4570,WH06-L-Purple,3,£84.00
4571,MP02-33-Red,31,£1085.00
4572,MJ09-M-Yellow,1,£59.00
4573,MSH09-33-Green,19,£760.00
4574,MH10-S-Blue,39,£1248.00
4575,MP07-32-Pink,43,£1935.00
4576,WH06-XL-Purple,30,£750.00
4577,MT09-S-Pink,7,£105.00
